{'lipoC2': 8.0, 'temp': 28.63, 'lipoC3S3': 12.41, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.26, 'datetime': '2018-10-12 20:01:20.171151', 'mgs': 0, 'depth': 1.004, 'time': 3.1, 'pitch': -1.96, 'roll': 0.98}
{'lipoC2': 8.0, 'temp': 28.69, 'lipoC3S3': 12.42, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.82, 'datetime': '2018-10-12 20:01:20.178346', 'mgs': 0, 'depth': 1.08, 'time': 3.2, 'pitch': -1.99, 'roll': 0.64}
{'lipoC2': 8.0, 'temp': 28.69, 'lipoC3S3': 12.41, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.61, 'datetime': '2018-10-12 20:01:20.191220', 'mgs': 0, 'depth': 0.928, 'time': 3.3, 'pitch': -2.13, 'roll': 0.53}
{'lipoC2': 8.0, 'temp': 28.69, 'lipoC3S3': 12.41, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.72, 'datetime': '2018-10-12 20:01:20.204093', 'mgs': 0, 'depth': 1.004, 'time': 3.39, 'pitch': -2.36, 'roll': 0.62}
{'lipoC2': 8.01, 'temp': 28.63, 'lipoC3S3': 12.41, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.95, 'datetime': '2018-10-12 20:01:20.211272', 'mgs': 0, 'depth': 1.004, 'time': 3.49, 'pitch': -2.69, 'roll': 0.97}
{'lipoC2': 8.02, 'temp': 28.63, 'lipoC3S3': 12.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.13, 'datetime': '2018-10-12 20:01:20.224160', 'mgs': 0, 'depth': 1.004, 'time': 3.59, 'pitch': -2.96, 'roll': 1.22}
{'lipoC2': 8.01, 'temp': 28.63, 'lipoC3S3': 12.38, 'rot1': 1, 'rot0': 1, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.31, 'datetime': '2018-10-12 20:01:20.237072', 'mgs': 0, 'depth': 1.462, 'time': 3.68, 'pitch': -3.08, 'roll': 1.57}
{'lipoC2': 8.0, 'temp': 28.63, 'lipoC3S3': 12.39, 'rot1': 2, 'rot0': 2, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.5, 'datetime': '2018-10-12 20:01:20.256234', 'mgs': 0, 'depth': 1.996, 'time': 3.78, 'pitch': -2.88, 'roll': 2.02}
{'lipoC2': 8.0, 'temp': 28.63, 'lipoC3S3': 12.25, 'rot1': 3, 'rot0': 2, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.56, 'datetime': '2018-10-12 20:01:20.353472', 'mgs': 0, 'depth': 1.004, 'time': 3.88, 'pitch': -2.44, 'roll': 2.15}
{'lipoC2': 8.0, 'temp': 28.56, 'lipoC3S3': 12.35, 'rot1': 4, 'rot0': 3, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'yaw': -3.51, 'datetime': '2018-10-12 20:01:20.451449', 'mgs': 0, 'depth': 1.309, 'time': 3.97, 'pitch': -1.91, 'roll': 2.39}
{'lipoC2': 8.0, 'temp': 28.56, 'lipoC3S3': 12.35, 'rot1': 5, 'rot0': 4, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'yaw': -3.53, 'datetime': '2018-10-12 20:01:20.548097', 'mgs': 0, 'depth': 1.538, 'time': 4.07, 'pitch': -1.49, 'roll': 2.95}
{'lipoC2': 8.0, 'temp': 28.63, 'lipoC3S3': 12.35, 'rot1': 6, 'rot0': 5, 'rot3': 2, 'rot2': 2, 'state': 'normal', 'yaw': -3.69, 'datetime': '2018-10-12 20:01:20.644779', 'mgs': 0, 'depth': 1.004, 'time': 4.17, 'pitch': -0.78, 'roll': 3.61}
{'lipoC2': 8.01, 'temp': 28.63, 'lipoC3S3': 12.25, 'rot1': 7, 'rot0': 6, 'rot3': 2, 'rot2': 2, 'state': 'normal', 'yaw': -3.81, 'datetime': '2018-10-12 20:01:20.743284', 'mgs': 0, 'depth': 0.928, 'time': 4.27, 'pitch': 0.01, 'roll': 3.99}
{'lipoC2': 8.02, 'temp': 28.56, 'lipoC3S3': 12.29, 'rot1': 8, 'rot0': 7, 'rot3': 2, 'rot2': 3, 'state': 'normal', 'yaw': -3.88, 'datetime': '2018-10-12 20:01:20.839904', 'mgs': 0, 'depth': 0.851, 'time': 4.36, 'pitch': 1.08, 'roll': 4.07}
{'lipoC2': 8.01, 'temp': 28.56, 'lipoC3S3': 12.35, 'rot1': 9, 'rot0': 8, 'rot3': 3, 'rot2': 3, 'state': 'normal', 'yaw': -3.95, 'datetime': '2018-10-12 20:01:20.939278', 'mgs': 0, 'depth': 1.309, 'time': 4.46, 'pitch': 2.23, 'roll': 3.87}
{'lipoC2': 8.0, 'temp': 28.56, 'lipoC3S3': 12.37, 'rot1': 11, 'rot0': 8, 'rot3': 3, 'rot2': 3, 'state': 'normal', 'yaw': -3.99, 'datetime': '2018-10-12 20:01:21.038063', 'mgs': 0, 'depth': 1.08, 'time': 4.56, 'pitch': 3.21, 'roll': 3.69}
{'lipoC2': 8.0, 'temp': 28.63, 'lipoC3S3': 12.38, 'rot1': 12, 'rot0': 9, 'rot3': 3, 'rot2': 3, 'state': 'normal', 'yaw': -3.96, 'datetime': '2018-10-12 20:01:21.134965', 'mgs': 0, 'depth': 0.928, 'time': 4.66, 'pitch': 4.1, 'roll': 3.71}
{'lipoC2': 8.01, 'temp': 28.63, 'lipoC3S3': 12.35, 'rot1': 13, 'rot0': 10, 'rot3': 3, 'rot2': 3, 'state': 'normal', 'yaw': -3.92, 'datetime': '2018-10-12 20:01:21.231969', 'mgs': 0, 'depth': 0.928, 'time': 4.75, 'pitch': 4.61, 'roll': 3.97}
{'lipoC2': 8.0, 'temp': 28.63, 'lipoC3S3': 12.37, 'rot1': 14, 'rot0': 11, 'rot3': 3, 'rot2': 3, 'state': 'normal', 'yaw': -3.94, 'datetime': '2018-10-12 20:01:21.328956', 'mgs': 0, 'depth': 1.004, 'time': 4.85, 'pitch': 4.78, 'roll': 4.19}
{'lipoC2': 8.0, 'temp': 28.63, 'lipoC3S3': 12.37, 'rot1': 15, 'rot0': 12, 'rot3': 3, 'rot2': 3, 'state': 'normal', 'yaw': -4.02, 'datetime': '2018-10-12 20:01:21.427217', 'mgs': 0, 'depth': 1.462, 'time': 4.95, 'pitch': 4.77, 'roll': 4.24}
{'lipoC2': 8.0, 'temp': 28.63, 'lipoC3S3': 12.34, 'rot1': 16, 'rot0': 13, 'rot3': 3, 'rot2': 3, 'state': 'normal', 'yaw': -4.02, 'datetime': '2018-10-12 20:01:21.524297', 'mgs': 0, 'depth': 0.928, 'time': 5.04, 'pitch': 4.65, 'roll': 4.27}
{'lipoC2': 8.01, 'temp': 28.63, 'lipoC3S3': 12.31, 'rot1': 17, 'rot0': 14, 'rot3': 3, 'rot2': 4, 'state': 'normal', 'yaw': -3.98, 'datetime': '2018-10-12 20:01:21.621300', 'mgs': 0, 'depth': 1.691, 'time': 5.14, 'pitch': 4.46, 'roll': 4.62}
